Albania,Bylis,,
Albania,Egnatia,,
Albania,Elbasani,,
Albania,FC Dinamo City,Dinamo City,
Albania,Flamurtari,,
Albania,KF Tirana,Tirana,
Albania,Partizani,,
Albania,Teuta Durres,Teuta,
Albania,Vllaznia,,
Albania,Vora,,
Andorra,Atletic Escaldes,,
Andorra,Carroi,,
Andorra,Esperanca,,
Andorra,FC Rangers,Rangers,
Andorra,FC Santa Coloma,Santa Coloma,
Andorra,Inter Escaldes,Inter d'Escaldes,
Andorra,Ordino,,
Andorra,Pas de la Casa,,
Andorra,Penya,,
Andorra,UE Santa Coloma,Santa Coloma,
Armenia,Alashkert FC,Alashkert,
Armenia,Ararat,,
Armenia,Ararat Armenia,,
Armenia,BKMA,,
Armenia,FC Noah,Noah,
Armenia,Gandzasar,,
Armenia,Pyunik,,
Armenia,Shirak,,
Armenia,Urartu FC,Urartu,
Armenia,Van,,
Austria,Altach,,
Austria,Austria Wien,,
Austria,BW Linz,Linz,
Austria,Grazer AK,Grazer,
Austria,Hartberg,,
Austria,LASK,,
Austria,Rapid Wien,Rapid,
Austria,RB Salzburg,Salzburg,
Austria,Ried,,
Austria,Sturm Graz,,
Austria,Wolfsberger AC,Wolfsberger,
Austria,WSG Tirol,Tirol,
Azerbaijan,Araz PFK,Araz,
Azerbaijan,FC Kapaz,Kapaz,
Azerbaijan,FK Neftchi,Neftchi,
Azerbaijan,FK Qabala,Qabala,
Azerbaijan,Imisli FK,Imisli,
Azerbaijan,Karvan FK,Karvan,
Azerbaijan,Qarabag FK,Qarabag,
Azerbaijan,Sabah FK,Sabah,
Azerbaijan,Shamakhi FK,Shamakhi,
Azerbaijan,Sumqayit,,
Azerbaijan,Turan Tovuz ,,
Azerbaijan,Zira,,
Belarus,Arsenal Dzerzhinsk,,
Belarus,Baranovichi,,
Belarus,BATE Borisov,BATE,
Belarus,Belshina Bobruisk,,
Belarus,Dinamo Minsk,,
Belarus,Dnyapro Mogilev,,
Belarus,Dynamo Brest,,
Belarus,FC Minsk,,
Belarus,FK Vitebsk,Vitebsk,
Belarus,Gomel,,
Belarus,Isloch,,
Belarus,Maxline Vitebsk,Maxline,
Belarus,Naftan Novopolotsk,,
Belarus,Neman Grodno,,
Belarus,Slavia Mozyr,,
Belarus,Torpedo Zhodino,,
Belgium,Anderlecht,,
Belgium,Cercle Brugge,,
Belgium,Club Brugge,,
Belgium,FCV Dender EH,Dender,
Belgium,Genk,,
Belgium,Gent,,
Belgium,KV Mechelen,Mechelen,
Belgium,OH Leuven,Leuven,
Belgium,RAAL La Louviere,La Louviere,
Belgium,Royal Antwerp,Antwerp,
Belgium,Sporting Charleroi,Charleroi,
Belgium,St. Truiden,St Truiden,STVV
Belgium,Standard Liege,Standard,
Belgium,Union St.Gilloise,Union SG,
Belgium,Westerlo,,
Belgium,Zulte Waregem,,
Bosnia-Herzegovina,Borac Banja Luka,Borac,
Bosnia-Herzegovina,FK Sarajevo,Sarajevo,
Bosnia-Herzegovina,FK Velez Mostar,Velez,
Bosnia-Herzegovina,Posusje,,
Bosnia-Herzegovina,Radnik Bijeljina,,
Bosnia-Herzegovina,Rudar Prijedor,,
Bosnia-Herzegovina,Siroki Brijeg,,
Bosnia-Herzegovina,Sloga Doboj,,
Bosnia-Herzegovina,Zeljeznicar,,
Bosnia-Herzegovina,Zrinjski Mostar,Zrinjski,
Bulgaria,Arda Kardzhali,Arda,
Bulgaria,Beroa,,
Bulgaria,Botev Plovdiv,,
Bulgaria,Botev Vratsa,,
Bulgaria,Cherno More Varna,Cherno,
Bulgaria,CSKA 1948,,
Bulgaria,CSKA Sofia,,
Bulgaria,Dobrudzha Dobrich,Dobrudzha,
Bulgaria,Levski Sofia,Levski,
Bulgaria,Lokomotiv Plovdiv,,
Bulgaria,Ludogorets Razgrad,Ludogorets,
Bulgaria,Montana,,
Bulgaria,PFC Lokomotiv Sofia 1929,Lokomotiv Sofia,
Bulgaria,Septemvri Sofia,Septemvri,
Bulgaria,Slavia Sofia,,
Bulgaria,Spartak Varna,,
Croatia,Dinamo Zagreb,,
Croatia,Hajduk Split,Hajduk,
Croatia,HNK Gorica,Gorica,
Croatia,NK Istra 1961,Istra,
Croatia,NK Lokomotiva,Lokomotiva,
Croatia,NK Varazdin,Varazdin,
Croatia,Osijek,,
Croatia,Rijeka,,
Croatia,Slaven,,
Croatia,Vukovar 91,Vukovar,
Cyprus,AEK Larnaca,Larnaca,
Cyprus,AEL Limassol,AEL,
Cyprus,Akritas Chlorakas,Akritas,
Cyprus,Anorthosis,,
Cyprus,APOEL Nicosia,APOEL,
Cyprus,Apollon Limassol,Apollon,
Cyprus,Aris Limassol,Aris,
Cyprus,Enosis Paralimni,Enosis,
Cyprus,Ethnikos Achnas,Ethnikos,
Cyprus,Krasava Ypsonas FC,Krasava Ypsonas,
Cyprus,Olympiakos Nicosia,Olympiakos,
Cyprus,Omonia Aradippou,,
Cyprus,Omonia Nicosia,Omonia,
Cyprus,Pafos FC,Pafos,
Czech Republic,Banik Ostrava,Banik,
Czech Republic,Bohemians 1905,Bohemians,
Czech Republic,Dukla Praha,,
Czech Republic,FC Zlin,Zlin,
Czech Republic,Hradec Kralove,Hradec,
Czech Republic,Jablonec,,
Czech Republic,Karvina,,
Czech Republic,Mlada Boleslav,Mlada,
Czech Republic,Pardubice,,
Czech Republic,Sigma Olomouc,Sigma,
Czech Republic,Slavia Prague,Slavia Praha,
Czech Republic,Slovacko,,
Czech Republic,Slovan Liberec,,
Czech Republic,Sparta Prague,Sparta Praha,
Czech Republic,Teplice,,
Czech Republic,Viktoria Plzen,Plzen,
Denmark,Aarhus,AGF,
Denmark,Brondby IF,Brondby,
Denmark,FK Kobenhavn,Kobenhavn,Copenhagen
Denmark,FC Midtjylland,Midtjylland,
Denmark,Fredericia,,
Denmark,Nordsjælland,Nordsjaelland,
Denmark,Odense Boldklub,OB,
Denmark,Randers FC,Randers,
Denmark,Silkeborg,,
Denmark,Sonderjyske,,
Denmark,Vejle Boldklub,Velje,
Denmark,Viborg,,
England,AFC Bournemouth,Bournemouth,
England,Arsenal,Bottlers,
England,Aston Villa,Villa,
England,Brentford,,
England,Brighton & Hove Albion,Brighton,
England,Burnley,,
England,Chelsea,,
England,Crystal Palace,Palace,
England,Everton,,
England,Fulham,,
England,Leeds United,Leeds,
England,Liverpool ,,
England,Manchester City,Man City,
England,Manchester United,Man United,
England,Newcastle United,Newcastle,
England,Nottingham Forest,Forest,
England,Sunderland,,
England,Tottenham Hotspur,Spurs,Tottenham
England,West Ham United,West Ham,
England,Wolverhampton Wanderers,Wolves,
Estonia,FC Kuressaare,Kuressaare,
Estonia,FCI Levadia,Levadia,
Estonia,Flora Tallinn,Flora,
Estonia,Harju Jalgpallikool,Harju,
Estonia,Narva Trans,Narva,
Estonia,Nomme JK Kalju,Kalju,
Estonia,Nomme United,Nomme,
Estonia,Paide Linnameeskond,Paide,
Estonia,Parnu JK Vaprus,Parnu,
Estonia,Tammeka,,
Faroe Islands,NSI Runavik,NSI,Runavik
Faroe Islands,B36 Torshavn,B36,
Faroe Islands,07 Vestur,,
Faroe Islands,AB Argir,Argir,
Faroe Islands,B68 Toftir,B68,
Faroe Islands,EB/Streymur,EB,Streymur
Faroe Islands,HB Torshavn,,
Faroe Islands,Klaksvik,Kl,
Faroe Islands,Skala,,
Faroe Islands,Vikingur Gota,Gota,
Finland,AC Oulu,Oulu,
Finland,FC Inter Turku,Inter Turku,
Finland,FC Lahti,Lahti,
Finland,FF Jaro,Jaro,
Finland,HJK,,
Finland,IF Gnistan,Gnistan,
Finland,IFK Mariehamn,Mariehamn,
Finland,Ilves,,
Finland,KuPS,,
Finland,SJK,,
Finland,TPS,,
Finland,VPS,,
France,Angers,,
France,Auxerre,,
France,Le Havre,,
France,Lens,,
France,Lille,LOSC,
France,Lorient,,
France,Metz,,
France,Monaco,,
France,Nantes,,
France,Nice,,
France,Olympique de Marseille,Marseille,
France,Olympique Lyonnais,Lyon,
France,Paris FC,,
France,Paris Saint Germain,PSG,
France,Rennes,,
France,Stade Brestois 29,Brest,
France,Strasbourg,,
France,Toulouse,,
Georgia,Dila Gori,Gori,
Georgia,Dinamo Batumi,Batumi,
Georgia,Dinamo Tbilisi,Tbilisi,
Georgia,FC Gagra,Gagra,
Georgia,FC Meshakhte Tkibuli,Tkibuli,
Georgia,FC Rustavi,Rustavi,
Georgia,FC Samgurali Tskhaltubo,Tskhaltubo,
Georgia,Iberia 1999,Iberia,
Georgia,Spaeri,,
Georgia,Torpedo Kutaisi,Kutaisi,
Germany,1. FC Koln,Koln,Cologne
Germany,1. FC Union Berlin,Union Berlin,
Germany,Augsburg,,
Germany,Bayer 04 Leverkusen,Leverkusen,
Germany,Borussia Dortmund,Dortmund,BVB
Germany,Borussia Monchengladbach,Gladbach,
Germany,Eintracht Frankfurt,Frankfurt,
Germany,FC Bayern Munchen,Bayern,Bayern Munich
Germany,FC Heidenheim,Heidenheim,
Germany,FC St. Pauli,St. Pauli,St Pauli
Germany,Freiburg,,
Germany,Hamburger SV,HSV,Hamburg
Germany,Hoffenheim,,
Germany,Mainz 05,Mainz,
Germany,RB Leipzig,Leipzig,
Germany,VfB Stuttgart,Stuttgart,
Germany,VfL Wolfsburg,Wolfsburg,
Germany,Werder Bremen,Bremen,
Gibraltar,College 1975 FC,College 1975,
Gibraltar,Europa FC,Europa,
Gibraltar,Europa Point,,
Gibraltar,Glacis United,Glacis Utd,
Gibraltar,Hound Dogs,,
Gibraltar,Lincoln Red Imps,,
Gibraltar,Lions Gibraltar,Lions,
Gibraltar,Lynx,,
Gibraltar,Magpies,,
Gibraltar,Manchester 62,Man 62,
Gibraltar,Mons Calpe,,
Gibraltar,St Joseph,St Josephs,
Greece,AE Larissa,Larissa,
Greece,AEK Athens,AEK,
Greece,Aris Thessaloniki,,
Greece,Asteras Tripolis,Asteras,
Greece,Atromitos,,
Greece,Kifisia FC,Kifisia,
Greece,Levadiakos,,
Greece,NFC Volos,Volos,
Greece,OFI Crete,Crete,
Greece,Olympiacos,,
Greece,Panathinaikos,,
Greece,Panetolikos,,
Greece,Panserraikos FC,Panserraikos,
Greece,PAOK Thessaloniki,PAOK,
Hungary,Debrecen,,
Hungary,Diosgyori VTK,Diosgyori,
Hungary,Ferencvaros,,
Hungary,Gyori ETO,Gyori,
Hungary,Kazincbarcikai BSC,Kazincbarcikai,
Hungary,Kisvarda,,
Hungary,MTK Budapest,,
Hungary,Nyiregyhaza Spartacus FC,Nyiregyhaza,
Hungary,Paksi SE,Paksi,
Hungary,Puskas FC Academy,Puskas Akademia,
Hungary,Ujpest,,
Hungary,Zalaegerszeg,,
Iceland,KR Reykjavik,KR,
Iceland,Breidablik,,
Iceland,FH Hafnarfjordur,Hafnarfjordur,
Iceland,Fram Beykjavik,Fram,
Iceland,IA Akranes,Akranes,
Iceland,IBV Vestmannaeyjar,Vestmannaeyjar,
Iceland,KA Akureyri,,
Iceland,Keflavik,,
Iceland,Stjarnan,,
Iceland,Thor Akureyri,,
Iceland,Valur,,
Iceland,Vikingur Reykjavik,Vikingur,
Israel,Beitar Jerusalem,Beitar,
Israel,Bnei Sakhnin,,
Israel,FC Ashdod,Ashdod,
Israel,Hapoel Beer Sheva,Beer Sheva,
Israel,Hapoel Haifa,,
Israel,Hapoel Ironi Kiryat Shmona,,
Israel,Hapoel Jerusalem FC,Hapoel Jerusalem,
Israel,Hapoel Petah Tikva,,
Israel,Hapoel Tel Aviv,,
Israel,Ironi Tiberias,,
